,Customer Name,Customer Address,Company Name,Claim Reason,Data confidentiality
0,Melissa Terry,"8424 Barnes Cove Suite 710,Rosehaven, GA 56440","Myers, Gonzalez and Martinez",Medical,High
1,Darren Orr,"77910 Brown Shoal,Lake Michael, WA 36012","Ramirez, Garcia and Wagner",Medical,High
2,Robert Wells,"4547 Davis Port,North Alexis, UT 08562","Khan, Flores and Rhodes",Medical,High
3,Veronica Gibson,"4220 Warren Pass,Port Rose, UT 50415",Miles-Rivera,Medical,High
4,Tracy Steele,"4183 Faulkner Alley Apt. 398,East Sethhaven, WI 20922","Long, Sullivan and King",Medical,High
5,Peter Jackson,"USNS Dawson,FPO AP 22199",Hernandez-Smith,Medical,High
6,Suzanne Greene,"18054 Pacheco Plains Suite 284,West Derrickberg, CA 12097","Hughes, Crawford and Collins",Travel,Low
7,Mrs. Brenda Snyder,"10474 Rodriguez Forges,Port Nathanielberg, VA 77918",Ortiz-Mills,Other,Very low
8,Timothy Mcclure,"183 Robert Mountain Apt. 351,South Michaelburgh, IA 32982","Harris, Davidson and Weaver",Other,Very low
9,Linda Dominguez,"9767 Jones Tunnel,South Julieside, TX 17995","Baker, Hall and Best",Phone,Medium
10,Todd Smith,"465 Grant Plain Suite 332,West Christine, FL 86223",Thomas-Jones,Medical,High
11,Timothy Forbes,"727 Brewer Flats,Lake Brianhaven, NM 35902",Singh-Davis,Medical,High
12,Timothy Martinez,"9410 Keith Extensions,West Jacob, AK 30849",Curtis-Stewart,Medical,High
13,Matthew Hernandez,"8136 Weber Fork,East Craig, SD 51778",Spence PLC,Phone,Medium
